period_days,radius_rearth,depth_true,depth_fit,t14_true,t14_seed
0.5,2,0.0005422209772361246,0.0003538742196913085,0.050717314817392924,0.05
0.5,1,1.2859919591268138e-05,0.0007474797742139998,0.09948644831590973,0.05
0.5,2,5.143967836507255e-05,0.0007490655645104628,0.11349459252655174,0.05
0.5,2,0.0004798969524595789,9.04323261231869e-05,0.055027183856229275,0.05
0.5,2,0.0012511772667545792,0.001207407946417013,0.04058195802780324,0.05
0.5,4,0.0012240930012450328,0.0012672683289474487,0.06735304759845903,0.05
0.5,4,0.00614326511572041,0.004633351449930316,0.03796241619773415,0.05
0.5,4,0.0025589777048103117,0.0021886157650026637,0.04810348342750132,0.05
0.5,2,5.143967836507255e-05,0.000749434467383945,0.10012541425600145,0.05
0.5,4,0.0010437103190495006,0.0010164729453003018,0.057354345229024946,0.05
0.5,4,0.0016632689931103052,0.0020089384620336995,0.056960136192201694,0.05
0.5,4,0.000496041259173752,0.0005930926697611615,0.09366307689104143,0.05
0.5,4,0.0007706769979594917,0.0008700875351128302,0.07056521696351784,0.05
0.5,4,0.002274702679150808,0.0023194882078162327,0.045619980540030816,0.05
0.5,4,0.0010957459000956724,0.0005139776423279082,0.07096115592903979,0.05
0.5,4,0.0011119041285244445,0.0010838501475357806,0.06504696682777383,0.05
0.5,4,0.0013394787933246775,0.0014586925052228934,0.06422379833101462,0.05
0.5,4,0.0005069488344564751,0.0003609033066732004,0.0780787874636688,0.05
0.5,4,0.0019195878098383157,0.00230629791110514,0.0562578902911052,0.05
0.5,4,0.0003592214758331416,0.00046636651507766884,0.11526919529301739,0.05
0.5,4,0.0016364284101642104,0.0015207461727268325,0.04662960414689661,0.05
0.5,4,0.000764349889484396,0.0009494916185016362,0.08681835942978317,0.05
0.5,4,0.001427864339480929,0.0018675473816791694,0.06408923890665412,0.05
0.5,4,0.0009174752353461123,0.0010633474467224605,0.0752603493250008,0.05
0.5,4,0.0014346373477475724,0.0011712943300630056,0.04953588517287939,0.05
0.5,4,0.014877250497229358,0.0038878237347333144,0.031232698927149204,0.05
0.5,4,0.0008301191553934877,0.0006606160366661551,0.062340909642594006,0.05
0.5,4,0.0017278370505876925,0.0019195636757698075,0.05686888976556918,0.05
0.5,4,0.0002057587134602902,0.0008131899392211261,0.11457312411968898,0.05
0.5,4,0.0014425529102188007,0.0014558753822327794,0.05882524761797286,0.05
0.5,4,0.0006539679994776389,0.00042394635739150606,0.0747416727452933,0.05
0.5,4,0.0021688839089444986,0.0025042705336506908,0.05191364111214299,0.05
0.5,4,0.005004709067018317,0.004717386917735078,0.04200089885917564,0.05
0.5,4,0.00218027274696732,0.0017616541571770362,0.04798022243112645,0.05
0.5,4,0.0021389480950259982,0.002017517993324335,0.04641134046270209,0.05
0.5,4,0.0012240930012450328,0.0012786073753061006,0.06477618235171481,0.05
0.5,4,0.00614326511572041,0.0041848528590650745,0.0329964238329951,0.05
0.5,4,0.0025589777048103117,0.002323224358586474,0.04621345382403793,0.05
0.5,4,0.0010437103190495006,0.0012282320025110995,0.06902104279140386,0.05
0.5,4,0.0016632689931103052,0.0014286122011116689,0.054732324053957046,0.05
0.5,8,0.0014368859033325665,0.001802252284545568,0.12162132392993438,0.05
0.5,8,0.006545713640656842,0.0043493369937139155,0.05647658622391289,0.05
0.5,8,0.003057399557937584,0.003488729973423663,0.07605974819467912,0.05
0.5,8,0.007431803457350298,0.008393308196426513,0.057623669736406764,0.05
0.5,8,0.020929158979576475,0.01773966468536259,0.0428152370535656,0.05
0.5,8,0.005711457357923716,0.005962855835929307,0.056245535426554444,0.05
0.5,8,0.05950900198891743,0.02887662461233072,0.030490762620330573,0.05
0.5,8,0.004896372004980131,0.005755484121264247,0.06978475120633668,0.05
0.5,8,0.02457306046288164,0.021161645270522847,0.04100976477165835,0.05
0.5,8,0.0013188426330691414,0.0014219861963119423,0.10534431376613572,0.05
0.5,8,0.008555792380103993,0.009414376892291437,0.05642198230747724,0.05
0.5,8,0.03393984755127748,0.026757800414249758,0.03912766996681086,0.05
0.5,8,0.0057385493909902895,0.006612680989967542,0.05983359801083181,0.05
0.5,8,0.0036699009413844494,0.0046649474736066175,0.08066865617060497,0.05
0.5,8,0.0007937753073538781,0.0009525649760311855,0.1166690784165078,0.05
0.5,8,0.020018836268073267,0.01419448375398519,0.03843203790122818,0.05
0.5,8,0.00872109098786928,0.008710006178533212,0.052258566811345816,0.05
0.5,4,0.002274702679150808,0.0014935474364226754,0.0393179604911684,0.05
0.5,4,0.0010957459000956724,0.0012119585270025763,0.06827151106143403,0.05
0.5,4,0.0011119041285244445,0.00022404102559791278,0.05618768177386237,0.05
0.5,8,0.004447616514097778,0.005408287135507057,0.06748062328417287,0.05
0.5,8,0.004174841276198002,0.003922491850521701,0.06017672403764063,0.05
0.5,8,0.006653075972441221,0.007456733761167648,0.059299081636058654,0.05
0.5,8,0.001984165036695008,0.002148356537219214,0.09620643722804079,0.05
0.5,8,0.010235910819241247,0.0064468384756205845,0.05049860888568365,0.05
0.5,8,0.009098810716603232,0.007597321015270845,0.04794686361089665,0.05
0.5,8,0.0009100253748006964,0.0010902849587498813,0.10423877951738554,0.05
0.5,8,0.00438298360038269,0.0012660988393968294,0.07340762907274377,0.05
0.5,8,0.0020277953378259003,0.002329020906448171,0.08093154485701144,0.05
0.5,8,0.007678351239353263,0.00912170176612793,0.058729973246916665,0.05
0.5,8,0.0014368859033325665,0.0017738115214285997,0.1181574463399925,0.05
0.5,8,0.006545713640656842,0.006265815815971535,0.049408190874084386,0.05
0.5,8,0.003082707991837967,0.00344933068577796,0.07365607174255093,0.05
0.5,8,0.0015765631079541946,0.0017704365352172406,0.10920276118629087,0.05
0.5,8,0.005770211640875203,0.006426882420728158,0.06129061498678544,0.05
