kind,sealed,no_shape,no_fap_gate
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
inj,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,True
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
null,False,False,False
